ds,y
2025-07-01,57
2025-07-02,239
2025-07-03,105
2025-07-04,162
2025-07-05,217
2025-07-06,208
2025-07-07,152
2025-07-08,240
2025-07-09,215
2025-07-10,135
2025-07-11,249
2025-07-12,88
2025-07-13,211
2025-07-14,52
2025-07-15,210
2025-07-16,155
2025-07-17,144
2025-07-18,160
2025-07-19,187
2025-07-20,241
2025-07-21,206
2025-07-22,145
2025-07-23,142
2025-07-24,95
2025-07-25,146
2025-07-26,175
2025-07-27,87
2025-07-28,90
2025-07-29,121
2025-07-30,121
2025-07-31,165
2025-08-01,135
2025-08-02,197
2025-08-03,59
2025-08-04,84
2025-08-05,98
2025-08-06,146
2025-08-07,122
2025-08-08,60
2025-08-09,84
2025-08-10,246
2025-08-11,229
2025-08-12,99
2025-08-13,232
2025-08-14,183
2025-08-15,170
2025-08-16,122
2025-08-17,211
2025-08-18,135
2025-08-19,192
2025-08-20,234
2025-08-21,219
2025-08-22,221
2025-08-23,67
2025-08-24,139
2025-08-25,193
2025-08-26,156
2025-08-27,104
2025-08-28,205
2025-08-29,235
